"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"형법범",기타 형법범죄,일수와 수리에 관한 죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",기타 형법범죄,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",소계,소계,11750,2,5,3,5,1210,152,365,4918,1828,896,124,5,2,366,10,-,-,-,1859,13511,4,14,4,20,1721,165,387,6124,1658,970,136,1,4,460,8,-,-,-,1835,11629,3,12,7,10,1464,102,302,5565,1375,838,123,3,2,429,11,-,-,-,1383,12740,4,13,3,21,1937,155,382,5648,1735,924,110,5,7,494,8,0,0,0,1294
"특별법범",개발제한구역의 지정 및 관리에 관한 특별조치법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",개인정보보호법,소계,4,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1,12,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,10,14,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,10,12,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,7
"특별법범",건축법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",게임산업진흥에관한법률,소계,83,-,-,-,-,1,-,-,17,9,14,1,-,-,13,-,-,-,-,28,67,-,-,-,-,2,-,2,21,6,8,3,-,-,6,-,-,-,-,19,31,-,-,-,-,2,1,-,11,3,3,1,-,-,5,-,-,-,-,5,32,0,0,0,0,3,0,0,12,3,5,0,0,0,5,0,0,0,0,4
"특별법범",경범죄처벌법,소계,85,-,1,-,-,10,2,3,24,17,7,2,-,-,2,1,-,-,-,16,88,-,-,-,-,25,3,2,24,17,10,1,-,-,1,-,-,-,-,5,94,-,-,-,-,17,-,2,44,14,8,-,-,-,3,-,-,-,-,6,156,0,0,1,1,35,1,1,58,19,12,2,0,0,3,0,0,0,0,23
"특별법범",공유재산및물품관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",공인중개사법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",공중위생관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,1,-,1,2,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"특별법범",공직선거법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,11,-,7,3,-,-,2,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,47,0,0,0,0,18,0,1,20,0,2,0,0,0,5,0,0,0,0,1
"특별법범",교통사고 처리특례법,소계,2270,-,-,1,-,110,16,59,751,280,178,13,-,-,55,3,-,-,-,804,2518,1,2,2,5,141,12,56,925,272,226,32,1,1,98,1,-,-,-,743,2282,1,3,-,-,165,11,57,968,233,162,34,1,1,122,2,-,-,-,522,1904,1,2,0,4,296,19,57,855,226,150,17,1,1,79,3,0,0,0,193
"특별법범",국민체육진흥법,소계,17,-,-,-,-,-,-,-,6,1,6,-,1,-,3,-,-,-,-,-,23,-,-,-,-,-,-,1,13,3,4,-,-,-,1,-,-,-,-,1,8,-,-,-,-,-,-,-,6,-,1,-,-,-,-,-,-,-,-,1,9,0,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,2
"특별법범",국토의계획및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",근로기준법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"특별법범",근로자퇴직급여보장법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",농수산물의원산지표시에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농수산물의원산지표시등에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",농지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",대기환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,23,-,-,-,-,-,-,3,6,5,5,-,-,-,1,-,-,-,-,3,8,-,-,-,-,-,-,-,2,1,2,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
"특별법범",도로교통법,소계,4663,2,2,1,2,664,70,145,2265,786,308,45,-,-,89,3,-,-,-,281,5056,1,5,1,6,836,64,155,2548,680,306,47,-,2,130,5,-,-,-,270,4241,2,7,4,6,740,35,118,2194,533,252,35,-,1,99,2,-,-,-,213,4512,0,5,2,8,835,68,135,2120,680,269,35,3,1,114,2,0,0,0,235
"특별법범",도로법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",마약류관리에 관한 법률,소계,85,-,-,-,-,-,4,12,11,14,23,-,-,-,5,-,-,-,-,16,135,-,-,-,1,4,1,6,55,25,18,4,-,1,6,-,-,-,-,14,182,-,-,1,-,9,3,6,71,30,35,5,-,-,10,-,-,-,-,12,202,0,1,0,0,32,11,3,83,18,25,1,0,0,18,0,0,0,0,10
"특별법범", 물환경보전법 ,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",병역법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"특별법범",부정경쟁방지 및 영업비밀보호에 관한법률,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",부정수표단속법,소계,3,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",사행행위등규제및처벌특례법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",산림자원의조성및관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",산업안전보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",산지관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",상표법,소계,7,-,-,-,-,1,-,-,3,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"특별법범",선박안전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",선박직원법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",성매매알선등행위의처벌에관한법률,소계,106,-,-,-,2,12,3,10,17,14,17,5,-,2,4,-,-,-,-,20,88,-,-,-,-,14,6,8,11,16,16,1,-,-,1,-,-,-,-,15,22,-,-,-,-,1,2,1,2,5,4,1,-,-,4,-,-,-,-,2,24,0,0,0,0,0,1,0,3,3,5,0,0,0,4,0,0,0,0,8
"특별법범",수산업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",수산자원관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",스토킹범죄의처벌등에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,3,-,-,4,-,-,-,-,-,-,-,-,-,-,1,161,0,1,0,0,14,4,6,51,15,12,3,0,0,7,0,0,0,0,48
"특별법범",식품위생법,소계,9,-,-,-,-,-,-,-,1,2,3,-,-,-,-,-,-,-,-,3,8,-,-,-,-,-,-,-,6,-,1,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,3,-,2,-,-,-,1,1,-,-,-,1,8,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,1
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,174,-,-,1,-,34,5,9,41,45,14,1,-,-,-,1,-,-,-,23,191,1,-,-,1,39,13,15,48,40,9,-,-,-,2,-,-,-,-,23,138,-,-,-,-,22,5,2,44,34,9,3,-,-,-,-,-,-,-,19,108,0,0,0,0,33,4,6,23,16,8,0,0,0,4,0,0,0,0,14
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760,-,1,-,-,192,1,3,414,19,34,5,-,-,29,-,-,-,-,62,505,-,-,1,-,83,3,5,273,11,33,3,-,-,29,1,-,-,-,63,620,0,1,0,1,123,4,10,331,18,29,7,0,0,38,0,0,0,0,58
"특별법범",아동·청소년의성보호에관한법률(음란물등),소계,135,-,-,-,-,36,1,1,63,3,10,-,-,-,3,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",아동복지법,소계,101,-,-,-,-,20,-,1,40,9,11,3,-,-,4,-,-,-,-,13,108,-,1,-,1,30,1,3,40,9,6,-,-,-,1,-,-,-,-,16,129,-,-,-,-,39,-,4,55,6,5,1,-,-,3,-,-,-,-,16,214,0,0,0,0,55,2,5,83,10,12,1,0,0,10,1,0,0,0,35
"특별법범",여객자동차운수사업법,소계,5,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,1,11,-,-,-,-,3,-,1,2,2,1,-,-,-,-,-,-,-,-,2,8,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
"특별법범",여신전문금융업법,소계,102,-,-,-,-,27,5,5,28,18,7,1,-,-,-,-,-,-,-,11,89,-,-,-,-,48,2,4,19,5,1,-,-,-,3,-,-,-,-,7,94,-,-,-,-,43,2,1,32,6,3,-,-,-,-,-,-,-,-,7,131,0,1,0,0,63,2,6,31,13,2,0,0,0,0,0,0,0,0,13
"특별법범",예비군법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",외국환거래법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",의료법,소계,12,-,-,-,-,3,-,2,-,2,4,-,-,-,1,-,-,-,-,-,7,-,-,-,-,-,-,-,5,-,1,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",자동차관리법,소계,371,-,1,-,-,1,4,18,136,104,43,-,1,-,5,1,-,-,-,57,463,1,-,-,1,7,5,21,230,97,32,5,-,-,13,-,-,-,-,51,678,-,-,1,-,3,3,22,342,136,68,7,1,-,20,1,-,-,-,74,927,0,1,0,1,9,6,48,380,252,93,8,0,1,24,0,0,0,0,104
"특별법범",자동차손해배상보장법,소계,277,-,-,-,-,5,2,16,143,58,7,5,-,-,8,-,-,-,-,33,404,-,-,-,1,10,6,17,194,88,37,6,-,-,8,-,-,-,-,37,445,-,-,-,-,3,4,20,252,84,47,-,-,-,5,1,-,-,-,29,510,0,1,0,1,7,3,18,257,115,48,6,0,0,18,1,0,0,0,35
"특별법범",저작권법,소계,43,-,-,-,-,1,-,-,9,-,2,-,-,-,2,-,-,-,-,29,78,-,-,-,-,-,-,-,23,1,5,2,-,-,2,-,-,-,-,45,70,-,-,-,1,7,-,-,13,-,10,-,-,-,4,-,-,-,-,35,37,0,0,0,0,1,0,0,9,0,6,1,0,0,4,0,0,0,0,16
"특별법범",전자금융거래법,소계,311,-,-,-,-,3,3,9,129,35,48,9,1,-,28,-,-,-,-,46,125,-,-,-,1,4,1,6,55,19,19,1,-,-,8,-,-,-,-,11,65,-,-,-,1,3,-,2,24,11,8,1,-,-,5,-,-,-,-,10,39,0,0,0,0,1,0,1,17,7,5,0,0,0,1,0,0,0,0,7
"특별법범",정보통신망이용촉진 및 정보보호 등에 관한법률,소계,634,-,-,-,-,96,6,4,206,35,32,8,-,-,25,-,-,-,-,222,840,-,1,-,1,149,7,7,287,49,37,3,-,-,23,2,-,-,-,274,664,-,1,-,-,119,10,9,270,25,26,3,-,-,20,-,-,-,-,181,667,0,0,0,0,137,2,13,247,21,16,1,0,0,11,0,0,0,0,219
"특별법범",조세범 처벌법,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"특별법범",주민등록법,소계,1021,-,-,-,-,74,17,32,540,193,61,9,1,-,51,-,-,-,-,43,1109,-,2,-,2,85,21,31,610,168,73,6,-,-,42,-,-,-,-,69,782,-,1,-,-,60,9,24,466,116,39,9,-,-,27,-,-,-,-,31,988,2,0,0,1,117,15,24,516,159,58,7,1,0,38,0,0,0,0,50
"특별법범",중대재해처벌등에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",청소년보호법,소계,673,-,-,-,-,31,8,14,317,106,41,13,1,-,47,-,-,-,-,95,631,-,1,-,-,35,8,16,309,74,52,8,-,-,48,-,-,-,-,80,306,-,-,-,1,17,2,9,143,37,27,12,-,-,21,2,-,-,-,35,447,0,0,0,2,28,3,14,211,51,35,2,0,0,30,0,0,0,0,71
"특별법범",축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",출입국관리법,소계,8,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,4,16,-,-,-,-,-,-,-,3,-,9,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
"특별법범",통신비밀보호법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,18,0,0,0,0,3,0,0,6,0,1,0,0,0,0,0,0,0,0,8
"특별법범",특가법(도주차량),소계,7,-,-,-,-,-,-,-,1,3,2,-,-,-,-,-,-,-,-,1,191,-,1,-,-,29,8,13,72,19,14,5,-,-,4,-,-,-,-,26,152,-,-,-,-,23,1,2,58,18,24,1,1,-,3,-,-,-,-,21,194,1,0,0,0,35,0,4,83,33,11,4,0,0,6,0,0,0,0,17
"특별법범",폐기물관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",풍속영업의 규제에 관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",화물자동차운수사업법,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",기타 특별법,소계,518,-,1,-,1,80,6,21,159,87,49,9,-,-,20,1,-,-,-,84,454,-,-,1,-,69,6,20,193,50,39,4,-,-,28,-,-,-,-,44,684,-,-,-,1,101,11,17,280,67,70,7,-,-,47,1,-,-,-,82,746,0,0,0,1,90,10,28,240,70,110,14,0,4,69,1,0,0,0,109
