"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계
"범죄별(1)",범죄별(2),범죄별(3),소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계
"합계",소계,소계,66247,29085,29917,662,6583,66247,51197,115,369,2979,344,3506,39,35,802,2,271,6588,64480,27366,30229,713,6172,64480,50582,134,253,2715,309,3221,40,37,799,4,214,6172,54017,22177,23888,322,7630,54017,41927,142,189,2428,259,2689,25,30,605,5,183,5535,61026,24558,27609,346,8513,61026,46389,194,238,2929,348,3479,34,45,673,3,225,6469
"형법범",소계,소계,54497,23539,25048,542,5368,54497,42125,86,318,2496,294,2895,32,20,672,2,180,5377,50969,21457,24125,579,4808,50969,39984,95,203,2199,255,2561,31,25,667,3,139,4807,42388,17114,19000,266,6008,42388,32918,108,159,1899,205,2111,17,21,496,4,106,4344,48286,18860,22006,281,7139,48286,36490,140,198,2324,290,2687,26,38,553,3,150,5387
"형법범",재산범죄,소계,27809,13860,12026,271,1652,27809,22081,49,189,1520,162,1619,16,12,400,-,106,1655,28855,13797,13037,291,1730,28855,23185,57,145,1475,163,1534,21,16,448,-,79,1732,21785,10378,9564,113,1730,21785,17429,70,98,1172,116,1156,11,11,300,2,54,1366,24414,11414,10789,134,2077,24414,19077,77,127,1443,175,1430,17,26,372,1,73,1596
"형법범",재산범죄,절도,17141,8571,7958,171,441,17141,14271,36,127,902,113,949,9,8,247,-,38,441,17066,8198,8221,192,455,17066,14397,32,79,860,94,846,12,4,244,-,41,457,12715,6274,5904,68,469,12715,10650,47,57,692,64,638,8,3,197,-,20,339,14797,7243,6848,86,620,14797,12177,46,80,866,108,814,13,18,218,1,39,417
"형법범",재산범죄,장물,175,73,89,3,10,175,149,-,-,4,-,11,-,1,-,-,-,10,188,89,90,-,9,188,154,1,-,9,1,12,-,-,2,-,-,9,105,51,44,-,10,105,83,-,-,4,-,9,-,1,-,-,-,8,127,71,38,0,18,127,99,0,0,7,0,8,0,0,3,0,0,10
"형법범",재산범죄,사기,8088,4157,2850,64,1017,8088,5765,6,49,506,42,518,5,3,125,-,50,1019,9212,4522,3527,71,1092,9212,6702,20,55,509,61,557,6,12,169,-,30,1091,6854,3181,2656,30,987,6854,5010,19,36,391,42,396,3,6,79,2,27,843,6762,2950,2671,29,1112,6762,4693,21,34,431,49,443,0,8,114,0,27,942
"형법범",재산범죄,횡령,1280,588,601,15,76,1280,1035,4,6,49,5,77,-,-,16,-,11,77,1309,555,679,13,62,1309,1099,3,5,52,5,60,2,-,17,-,3,63,983,448,470,10,55,983,813,3,3,49,7,53,-,1,16,-,2,36,1393,639,645,7,102,1393,1134,5,7,69,7,73,2,0,21,0,2,73
"형법범",재산범죄,배임,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,3,-,2,-,1,3,2,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",재산범죄,손괴,1124,471,528,18,107,1124,861,3,7,59,2,64,2,-,12,-,7,107,1077,433,518,15,111,1077,831,1,6,45,2,59,1,-,16,-,5,111,1127,424,489,5,209,1127,873,1,2,35,3,60,-,-,8,-,5,140,1335,511,587,12,225,1335,974,5,6,70,11,92,2,0,16,0,5,154
"형법범",강력범죄(흉악),소계,3665,1229,2040,61,335,3665,2933,3,21,133,24,166,1,2,39,-,6,337,3134,979,1780,56,319,3134,2514,6,7,103,17,131,-,1,36,1,5,313,3606,1097,1981,48,480,3606,2913,5,14,126,15,137,3,2,32,-,7,352,4893,1256,2683,42,912,4893,3772,14,12,141,17,198,2,5,36,0,8,688
"형법범",강력범죄(흉악),살인,20,12,7,-,1,20,17,-,-,2,-,-,-,-,-,-,-,1,9,6,3,-,-,9,7,1,-,1,-,-,-,-,-,-,-,-,11,9,2,-,-,11,9,-,-,1,-,-,-,-,1,-,-,-,15,4,5,0,6,15,6,0,0,0,0,3,0,0,0,0,0,6
"형법범",강력범죄(흉악),강도,366,229,128,1,8,366,296,-,2,19,5,24,-,-,10,-,2,8,324,164,145,7,8,324,282,2,-,7,3,19,-,-,3,-,-,8,178,78,95,-,5,178,153,-,-,6,2,11,-,-,1,-,-,5,169,88,78,1,2,169,147,0,1,7,0,10,0,0,2,0,1,1
"형법범",강력범죄(흉악),방화,99,30,55,8,6,99,87,-,-,4,-,2,-,-,-,-,-,6,99,46,47,-,6,99,85,1,-,3,1,2,-,-,1,-,-,6,76,37,32,2,5,76,66,-,1,2,-,5,-,-,1,-,-,1,95,42,46,0,7,95,73,2,0,7,0,9,0,0,1,0,0,3
"형법범",강력범죄(흉악),성폭력,3180,958,1850,52,320,3180,2533,3,19,108,19,140,1,2,29,-,4,322,2702,763,1585,49,305,2702,2140,2,7,92,13,110,-,1,32,1,5,299,3341,973,1852,46,470,3341,2685,5,13,117,13,121,3,2,29,-,7,346,4614,1122,2554,41,897,4614,3546,12,11,127,17,176,2,5,33,0,7,678
"형법범",강력범죄(폭력),소계,18622,6999,8920,154,2549,18622,13963,26,92,694,89,934,11,4,197,1,56,2555,14744,5427,7174,177,1966,14744,11244,22,42,493,65,705,7,7,149,1,40,1969,13614,4649,6011,86,2868,13614,10225,23,37,479,64,687,3,7,135,2,37,1915,15429,5207,6877,87,3258,15429,11148,40,50,622,85,862,6,6,127,2,59,2422
"형법범",강력범죄(폭력),폭행,10139,3478,4559,84,2018,10139,7065,14,49,346,44,452,8,3,96,-,37,2025,7830,2597,3600,82,1551,7830,5533,12,21,239,36,342,1,3,68,1,19,1555,7360,2156,3003,42,2159,7360,5119,12,20,257,32,378,3,4,69,1,26,1439,8513,2533,3446,43,2491,8513,5624,24,33,320,42,460,5,2,67,2,28,1906
"형법범",강력범죄(폭력),상해,4995,2105,2642,47,201,4995,4168,8,21,194,30,291,2,1,66,1,11,202,3616,1512,1920,45,139,3616,3070,7,11,125,16,196,1,3,38,-,11,138,3230,1365,1651,26,188,3230,2728,6,7,118,19,176,-,1,39,1,3,132,3415,1374,1820,30,191,3415,2838,3,6,160,16,210,0,2,29,0,14,137
"형법범",강력범죄(폭력),협박,854,273,412,7,162,854,591,1,4,34,4,49,-,-,7,-,2,162,775,253,394,9,119,775,571,-,1,25,3,44,2,-,7,-,3,119,789,259,324,6,200,789,567,1,4,27,3,38,-,1,3,-,4,141,915,281,383,6,245,915,624,6,5,44,8,48,0,1,8,0,9,162
"형법범",강력범죄(폭력),공갈,1750,780,857,10,103,1750,1418,1,17,86,9,94,-,-,21,-,3,101,1604,698,786,21,99,1604,1284,1,8,76,7,92,2,1,29,-,5,99,1141,445,518,8,170,1141,895,2,6,42,6,59,-,1,17,-,3,110,1305,538,633,4,130,1305,1031,2,6,58,11,95,0,0,10,0,3,89
"형법범",강력범죄(폭력),약취와 유인,20,9,7,-,4,20,12,-,-,1,-,1,-,-,1,-,1,4,23,12,7,-,4,23,18,-,-,1,-,-,-,-,-,-,-,4,8,5,2,-,1,8,6,-,-,1,-,-,-,-,-,-,-,1,20,5,9,0,6,20,12,1,0,1,0,1,0,0,0,0,0,5
"형법범",강력범죄(폭력),체포와 감금,253,118,107,2,26,253,190,1,-,10,1,20,1,-,2,-,2,26,255,103,111,14,27,255,201,2,1,11,1,8,-,-,2,-,2,27,212,82,76,-,54,212,147,1,-,5,-,11,-,-,2,-,1,45,313,116,103,0,94,313,220,1,0,9,0,9,0,0,3,0,2,69
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),542,219,289,3,31,542,455,1,1,23,-,27,-,-,4,-,-,31,610,241,338,4,27,610,546,-,-,10,2,19,1,-,5,-,-,27,790,324,371,4,91,790,685,1,-,28,3,23,-,-,5,-,-,45,888,338,455,4,91,888,747,3,0,30,8,36,1,1,9,0,3,50
"형법범",강력범죄(폭력),폭력행위 등(단체 등의 구성ㆍ활동),69,17,47,1,4,69,64,-,-,-,1,-,-,-,-,-,-,4,31,11,18,2,-,31,21,-,-,6,-,4,-,-,-,-,-,-,84,13,66,-,5,84,78,-,-,1,1,2,-,-,-,-,-,2,60,22,28,0,10,60,52,0,0,0,0,3,0,0,1,0,0,4
"형법범",위조범죄,소계,1350,503,762,18,67,1350,1105,3,8,57,5,81,1,-,18,-,5,67,1277,485,700,14,78,1277,1056,5,4,44,4,69,2,-,9,-,5,79,667,264,358,5,40,667,549,4,4,31,4,43,-,-,5,-,2,25,886,308,523,6,49,886,721,3,1,38,4,72,0,0,7,0,3,37
"형법범",위조범죄,통화,21,12,5,-,4,21,14,-,-,3,-,-,-,-,-,-,-,4,5,1,3,-,1,5,4,-,-,-,-,-,-,-,-,-,-,1,4,4,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"형법범",위조범죄,유가증권ㆍ인지ㆍ우표,2,2,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"형법범",위조범죄,문서,1310,482,752,17,59,1310,1079,3,8,54,5,79,1,-,17,-,5,59,1250,477,686,14,73,1250,1037,4,4,43,4,68,2,-,9,-,5,74,639,249,348,4,38,639,524,4,4,30,4,43,-,-,5,-,2,23,842,298,491,6,47,842,687,3,1,36,4,66,0,0,7,0,3,35
"형법범",위조범죄,인장,17,7,5,1,4,17,11,-,-,-,-,1,-,-,1,-,-,4,22,7,11,-,4,22,15,1,-,1,-,1,-,-,-,-,-,4,24,11,10,1,2,24,21,-,-,1,-,-,-,-,-,-,-,2,41,10,30,0,1,41,32,0,0,2,0,6,0,0,0,0,0,1
"형법범",공무원범죄,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,증뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",풍속범죄,소계,192,65,109,7,11,192,156,1,2,11,1,8,-,-,1,-,-,12,178,57,106,5,10,178,154,-,-,5,-,9,-,-,-,-,-,10,188,58,111,5,14,188,156,-,-,9,1,7,-,-,3,-,1,11,183,58,112,1,12,183,141,2,0,7,2,17,1,0,1,0,1,11
"형법범",풍속범죄,도박과 복표,74,32,39,-,3,74,61,-,1,5,-,3,-,-,1,-,-,3,91,36,47,4,4,91,81,-,-,3,-,3,-,-,-,-,-,4,63,24,37,-,2,63,55,-,-,3,-,2,-,-,-,-,1,2,74,25,46,0,3,74,59,0,0,4,0,8,0,0,0,0,0,3
"형법범",풍속범죄,신앙,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,1,0,4,6,2,0,0,0,0,0,0,0,0,0,0,4
"형법범",풍속범죄,기타 음란행위,118,33,70,7,8,118,95,1,1,6,1,5,-,-,-,-,-,9,87,21,59,1,6,87,73,-,-,2,-,6,-,-,-,-,-,6,125,34,74,5,12,125,101,-,-,6,1,5,-,-,3,-,-,9,103,32,65,1,5,103,80,2,0,3,2,9,1,0,1,0,1,4
"형법범",과실범죄,소계,131,61,46,3,21,131,98,-,-,6,-,6,-,-,-,-,-,21,129,35,71,3,20,129,101,-,-,1,2,5,-,-,-,-,-,20,132,41,68,1,22,132,107,-,-,1,-,8,-,-,2,-,-,14,154,40,72,2,40,154,118,2,1,1,1,4,0,0,1,0,0,26
"형법범",과실범죄,과실치사상,58,17,24,1,16,58,38,-,-,1,-,3,-,-,-,-,-,16,58,15,28,3,12,58,43,-,-,1,1,1,-,-,-,-,-,12,59,15,26,1,17,59,47,-,-,-,-,1,-,-,1,-,-,10,62,9,30,0,23,62,48,0,0,0,0,1,0,0,0,0,0,13
"형법범",과실범죄,업무상 과실치사상,4,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,5,1,1,-,3,5,2,-,-,-,-,-,-,-,-,-,-,3,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,4,0,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,2
"형법범",과실범죄,실화,69,42,20,2,5,69,56,-,-,5,-,3,-,-,-,-,-,5,66,19,42,-,5,66,56,-,-,-,1,4,-,-,-,-,-,5,72,25,42,-,5,72,59,-,-,1,-,7,-,-,1,-,-,4,88,31,40,2,15,88,68,2,1,1,1,3,0,0,1,0,0,11
"형법범",기타 형법범죄,소계,2728,822,1145,28,733,2728,1789,4,6,75,13,81,3,2,17,1,7,730,2652,677,1257,33,685,2652,1730,5,5,78,4,108,1,1,25,1,10,684,2396,627,907,8,854,2396,1539,6,6,81,5,73,-,1,19,-,5,661,2327,577,950,9,791,2327,1513,2,7,72,6,104,0,1,9,0,6,607
"형법범",기타 형법범죄,명예,1393,297,539,11,546,1393,768,1,1,33,4,30,1,1,4,-,5,545,1340,239,559,18,524,1340,724,1,1,30,2,51,1,1,5,-,2,522,1317,232,461,5,619,1317,738,-,3,34,4,28,-,-,5,-,1,504,1140,183,396,5,556,1140,631,1,4,33,3,37,0,0,5,0,3,423
"형법범",기타 형법범죄,권리행사 방해,147,48,77,3,19,147,118,-,1,4,1,4,-,-,-,-,-,19,148,38,92,1,17,148,110,-,2,9,1,5,-,-,3,1,-,17,167,52,75,3,37,167,119,-,-,9,-,6,-,-,1,-,1,31,141,32,78,1,30,141,103,0,0,6,0,8,0,1,1,0,1,21
"형법범",기타 형법범죄,신용업무 경매,214,83,88,4,39,214,155,1,-,5,1,9,1,-,3,-,-,39,214,65,119,2,28,214,171,-,-,4,-,7,-,-,2,-,2,28,151,40,44,-,67,151,102,1,-,5,-,8,-,-,2,-,-,33,152,53,53,0,46,152,96,0,0,5,0,9,0,0,0,0,0,42
"형법범",기타 형법범죄,주거 침입,682,267,340,7,68,682,555,1,1,17,3,26,1,1,8,-,1,68,698,229,399,10,60,698,558,3,1,21,1,37,-,-,11,-,4,62,514,195,250,-,69,514,414,4,3,22,-,20,-,1,2,-,-,48,621,203,317,2,99,621,496,1,2,16,2,34,0,0,3,0,2,65
"형법범",기타 형법범죄,비밀침해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"형법범",기타 형법범죄,유기,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,3,3,-,-,-,3,-,-,-,-,-,2,-,-,-,-,1,-,2,1,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,1,5,4,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0
"형법범",기타 형법범죄,교통방해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2
"형법범",기타 형법범죄,공무방해,191,100,81,1,9,191,153,1,2,12,3,10,-,-,2,-,-,8,153,78,61,2,12,153,121,1,1,10,-,4,-,-,4,-,-,12,175,92,70,-,13,175,132,1,-,11,1,10,-,-,9,-,2,9,193,88,92,1,12,193,160,0,1,9,0,13,0,0,0,0,0,10
"형법범",기타 형법범죄,도주와 범인 은닉,27,14,9,1,3,27,20,-,1,1,-,1,-,-,-,1,-,3,18,11,2,-,5,18,11,-,-,1,-,1,-,-,-,-,-,5,15,7,3,-,5,15,9,-,-,-,-,-,-,-,-,-,1,5,13,9,3,0,1,13,11,0,0,1,0,0,0,0,0,0,0,1
"형법범",기타 형법범죄,위증과 증거인멸,12,2,1,-,9,12,2,-,-,-,-,1,-,-,-,-,-,9,9,3,2,-,4,9,4,-,-,1,-,-,-,-,-,-,-,4,7,2,1,-,4,7,4,-,-,-,-,-,-,-,-,-,-,3,7,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,7
"형법범",기타 형법범죄,무고,59,10,10,1,38,59,18,-,-,3,1,-,-,-,-,-,-,37,59,7,19,-,33,59,25,-,-,2,-,-,-,-,-,-,-,32,47,6,2,-,39,47,19,-,-,-,-,1,-,-,-,-,-,27,51,4,10,0,37,51,10,0,0,2,1,3,0,0,0,0,0,35
